epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6313070793067708,0.6323764705882353,0.6323759202460835,0.5331945406913757,0.7272,0.7271021740130987
2,0.44864205218763914,0.7912,0.7911546898464987,0.4056200343529383,0.8213333333333334,0.8196339354963573
3,0.3078488425984102,0.8705411764705883,0.8705409674726429,0.377263946000735,0.8434666666666667,0.8421922081340857
4,0.2208153812716989,0.9123764705882353,0.9123763929700921,0.33112830890814465,0.8656,0.8655847065266092
5,0.15957608486186056,0.9406588235294118,0.9406587540118607,0.3700915288527807,0.8546666666666667,0.8540838425137889
6,0.10055693907176746,0.9643764705882353,0.9643764528380941,0.42325060441891355,0.8688,0.8687926850464054
7,0.0650670588157085,0.9780705882352941,0.9780705874582797,0.6330126350720724,0.8389333333333333,0.8371721877156659
8,0.03783813228539383,0.9870588235294118,0.9870588232714839,0.6675756226380666,0.8664,0.8663212804638949
